UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,mode
8.0088625,7.775926,2.4817393,-1.2382625,6.6451945,0.72470605,2.776213,8.401725,5.0075655,5.4445796,7.1307793,3.7545526,0
7.91479,6.8086667,2.1829808,0.36890537,5.4541,0.48716286,2.9697568,7.149653,5.130163,5.766284,7.1772714,3.677243,1
7.976366,6.783559,2.7270508,0.31112263,5.5716553,0.8917489,3.265183,7.1373606,5.263759,5.570251,6.957529,3.9292188,0
7.9318056,7.116008,1.9852548,0.056204826,5.7398577,0.4518848,2.732105,7.537486,5.0226274,5.817579,7.2068253,3.658467,0
8.989627,6.7951384,2.8958561,-0.17967714,6.3669963,0.5392301,2.7771294,7.809639,5.2154617,5.66421,7.221994,3.255118,1
8.618808,7.318102,3.402006,-1.0008831,6.435772,0.86030424,2.2437198,8.020423,6.5447197,4.960281,6.614963,3.386311,0
9.515268,6.9277277,3.986243,0.30906913,6.8463535,1.9493511,1.4292157,8.395208,4.7687826,5.6535277,7.0347695,4.438995,0
8.129653,6.5852437,2.0729554,1.835129,5.1358757,1.1983439,3.8679903,6.72557,5.608558,6.0121346,6.232332,4.4626117,1
8.519259,7.6538496,2.4513786,-1.1966747,7.012851,0.5726555,3.105662,8.5601635,4.45717,5.8890824,7.471841,3.4039054,0
8.020284,7.958713,2.6675608,-0.62551045,6.645851,1.4175748,3.1290257,8.363423,5.669862,5.4629908,6.3757334,4.31146,1
8.051373,6.7804017,1.654993,2.2062633,5.10823,1.3467289,3.741948,6.8670554,5.5201497,6.1970887,5.998699,4.7910333,1
7.702991,7.845903,2.1666205,-0.2965365,6.094823,1.1957527,2.433017,8.127674,5.684411,5.3713098,6.42822,4.4479694,1
8.267824,6.9792824,1.7185868,0.82425344,5.752358,0.6424134,3.102543,7.4817104,4.769609,6.1601315,7.0334787,3.9628565,1
8.597392,6.780397,2.9934738,-0.13958308,5.9411397,0.5882183,2.5038488,7.485511,5.8469324,5.391917,6.9805937,3.3240027,0
8.92064,7.2516,3.6421158,-0.9861783,6.5671935,0.8795187,2.3102875,8.030903,6.7794724,4.9393477,6.5468245,3.2078915,0
8.191704,7.755253,2.4182584,-1.1804707,6.757892,0.6628797,2.8544838,8.454679,4.9006896,5.6125393,7.19958,3.6134124,0
8.047022,8.065459,2.0940433,-0.15805146,6.5176735,1.3700547,2.7228408,8.400227,5.6265707,5.795688,6.3490906,4.324429,1
8.349031,6.525798,2.2437446,0.8605487,5.450739,0.5642281,3.050481,7.118025,5.1730857,5.704395,6.960767,3.9033678,1
9.243185,7.119041,3.8344407,-0.0014180792,6.783429,1.8057729,1.5808758,8.397484,5.1867857,5.4426584,6.8474917,4.374088,1
8.0193205,6.7085357,1.8181039,1.9586974,5.0935616,1.2182369,3.5570698,6.83999,5.4453335,6.134802,6.2506237,4.5793023,0
7.662938,7.665692,2.5643094,-1.0348011,6.152529,0.8300663,2.3625493,8.091994,5.607183,5.0470057,6.824008,4.030885,1
8.111219,6.690114,2.2664788,1.0716313,5.364461,0.9267752,3.3832004,7.0104136,5.421571,5.753834,6.6279016,4.1822033,1
