UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20,Response,cluster
8.809224,8.838875,13.204324,4.8456964,4.409291,6.755344,4.1441803,4.7376084,3.8578184,6.9232607,5.7194595,6.3109107,4.7782407,4.7108502,4.3448663,5.469891,4.9606385,4.1654615,4.218639,7.06721,0,5
7.6560373,5.223904,4.1151843,8.422448,4.3893266,2.8904552,3.2662544,3.8703418,5.6652493,3.8979292,5.3506083,3.9895234,4.6205444,4.7848315,4.3872013,4.0654573,5.165334,4.7168393,5.236803,6.194537,0,3
7.9809484,11.300023,0.5776573,5.336116,7.2764907,4.5558543,5.489858,5.935936,5.587848,4.777197,4.882317,3.7914543,4.2565217,5.2083664,5.629172,5.06896,5.538921,5.0412207,5.137436,5.6178575,0,0
7.767852,0.76772743,3.0822039,0.88614213,5.5251846,5.6194353,4.409051,4.9787283,4.7358437,5.972094,5.345871,4.5153704,5.192325,4.6205163,4.9014087,5.1373453,5.0506997,4.855393,5.321625,6.185519,0,1
7.1026106,5.0215697,4.2510457,8.481388,4.0049953,2.8978598,3.4501681,4.3352633,5.829243,3.7180948,5.2025576,3.8293848,4.572171,5.156387,4.9357514,4.3788123,5.2765055,4.9849563,4.9497294,6.4194756,0,3
8.105437,12.4537945,1.9654635,4.0271034,3.4794476,6.0566106,4.0940146,6.1158757,5.9671097,5.283569,4.783264,3.7042863,4.3603473,4.9522934,6.34916,4.1368194,5.1868877,5.572999,4.924601,5.674152,0,0
7.7235527,5.3822427,4.069869,7.4584565,3.8910563,1.6400421,3.5979345,4.018979,5.683467,4.5182037,5.382234,3.7933848,4.581205,5.2138853,4.445435,4.4351463,5.2801437,4.8608165,5.316535,6.234816,1,3
7.5107493,2.4941244,2.1776526,6.6703725,5.296317,9.927683,3.5923967,4.426892,5.156265,4.302293,4.7237864,5.2159357,5.1878395,4.027627,5.318579,4.3050222,4.6640773,4.4752107,5.1917343,6.227443,0,2
7.896725,10.786465,1.418254,5.18834,5.7846937,5.4882946,4.7908783,6.004765,5.485969,4.742877,4.94837,3.6786542,4.80079,4.6011314,5.7395205,4.455761,5.379357,5.1069984,5.0972743,5.76871,0,0
7.458223,4.3319397,3.8359668,9.661919,4.6774054,3.711552,3.1055982,3.591554,6.0326905,2.984668,5.357964,3.995002,4.7776866,4.5449495,4.2523613,3.6260316,5.0923195,4.873072,5.1928825,6.303619,0,3
7.558277,2.337805,2.2238004,6.728909,5.3472066,9.907558,3.7372222,4.4355993,5.181799,4.274491,4.677574,5.180832,5.1827836,4.0335846,5.2968116,4.320379,4.620856,4.5943727,5.1601515,6.1917276,0,2
7.7864437,5.4272876,4.300964,7.101772,4.2188697,1.5480963,3.731733,3.841617,5.794294,4.6641073,5.385186,3.77882,4.528537,5.2382255,4.255719,4.371915,5.236707,4.9793983,5.389189,6.2223783,1,3
7.6190543,2.5028203,2.221461,6.9320374,4.911819,9.186804,3.7609632,4.50135,5.09123,4.1176524,4.5765657,5.144081,5.108188,3.85948,5.441858,4.2749796,4.601208,4.421392,5.048438,6.349523,0,2
7.7399063,0.5547152,3.237724,1.0985028,4.9323115,5.7393494,4.1479897,4.8013577,5.134198,5.601245,5.2044964,4.6923585,4.9703236,4.6359553,4.433258,4.938753,4.8900824,4.8943033,5.070229,6.1601954,0,1
7.4353476,2.9643974,2.5662396,6.478705,5.0583563,7.732511,3.7919683,4.4015536,5.2459245,4.2565017,4.8605776,4.870237,5.035365,4.229937,5.1970763,4.2778425,4.881351,4.576507,5.206285,6.268785,0,2
7.1545143,4.855277,4.1393204,8.549481,3.973454,2.9388206,3.3963635,4.2387304,5.831751,3.6893291,5.2278967,3.8456464,4.630494,5.0978417,4.8715158,4.302001,5.245449,4.9677777,4.9855795,6.407735,0,3
-2.3816671,6.806354,8.4336,1.7751489,3.2790806,5.383613,8.557886,2.8890328,4.1307936,6.3697906,4.226141,8.09229,7.769916,2.4902477,4.746827,5.356452,3.3217914,3.4242032,3.8472624,5.678073,1,4
20.098175,4.9382677,1.308121,5.7783275,5.07637,5.277359,4.046245,3.9015071,5.47385,4.2174325,5.2729926,3.7314515,6.149866,4.4418855,4.675809,4.2731156,5.583154,5.5953465,3.4900563,8.279349,1,3
7.812908,5.382119,4.0468774,7.0766125,3.8870127,1.2265947,3.703735,3.9162343,5.700401,4.7562194,5.3757653,3.701505,4.5535283,5.355514,4.329861,4.4536176,5.285964,4.98554,5.4048343,6.243505,0,3
7.3060074,4.722462,3.85045,8.766762,3.9243405,3.1408534,3.3221788,4.1707582,5.806368,3.569166,5.3406487,3.952143,4.7329764,4.862507,4.758347,4.216033,5.214887,4.7527566,5.0642557,6.30369,0,3
8.131757,11.682238,1.4793305,4.6850953,5.3662114,5.722742,4.6515856,5.9604554,5.603555,5.049404,4.806791,3.7025335,4.583632,4.7394133,6.1046367,4.4014726,5.3354273,5.36182,4.975253,5.7582283,0,0
7.349028,4.905433,3.829055,8.814918,4.0526814,3.3552954,3.2533922,4.165407,5.6711216,3.6665094,5.259628,3.9566085,4.6789703,4.859318,4.788527,4.189552,5.1856956,4.7865567,5.0481853,6.279386,0,3
7.7683578,0.6072897,2.839159,0.9373818,5.3842726,5.651028,4.5848126,4.986919,4.8812475,5.7816706,5.2157702,4.5836735,5.0949116,4.684579,4.6372294,5.2332807,4.9098268,4.857553,5.0461183,6.1320305,0,1
7.72862,1.7798479,2.9920876,1.7788968,5.404397,5.0003376,4.890972,4.798084,4.9209433,5.7194114,5.252309,4.4024067,5.1778536,5.0025597,4.753085,5.3528094,4.906624,4.8854446,5.180177,6.2134175,0,1
7.7626815,3.1582434,4.204276,5.783893,3.8558552,1.5156311,3.474088,3.5193985,5.874775,4.543233,5.253237,3.947039,5.190302,5.183065,3.7357666,4.235497,5.1980243,5.1812024,5.6480217,6.7308955,0,3
7.6637897,1.4659845,3.0073118,2.2602556,5.297307,5.9151006,4.25115,4.73077,4.9121504,5.430347,5.1797013,4.6296206,5.064469,4.5766683,4.7784204,4.911559,4.921705,4.8213706,5.1549654,6.223411,0,1
7.568166,2.42914,2.0369697,6.854947,5.119337,9.735782,3.662197,4.6550226,4.9495087,4.2355824,4.534075,5.370549,5.137098,3.7562337,5.4498057,4.1857824,4.668904,4.2973356,5.213155,6.285781,0,2
7.1876106,4.7671423,3.9784682,9.253414,4.5631003,3.992315,3.2246644,4.0810633,5.8006783,3.276787,5.1819525,3.965181,4.642171,4.804562,4.7327523,4.0057664,5.1670103,4.9661307,5.0032043,6.3476753,0,3
7.7624984,0.9669451,2.8633995,1.1158876,5.715763,5.994494,4.6619678,5.0418963,4.79153,5.90657,5.3544745,4.4811587,5.0798554,4.6547275,4.7106605,5.2861958,4.935003,4.816479,5.1658306,6.1244946,0,1
7.618163,4.9546485,3.9110286,9.008058,4.569896,3.4539778,3.112364,3.7200499,5.673777,3.5908635,5.301452,4.003166,4.672786,4.6555243,4.3504314,3.8313985,5.09921,4.7864065,5.219471,6.209727,0,3
7.8124914,0.49990886,3.1774888,0.93742186,5.516388,5.905305,4.44399,5.071815,5.028145,6.0335574,5.408654,4.480582,5.065661,4.7380123,4.7430134,5.1788106,5.0159926,4.834988,5.333469,6.086942,0,1
7.521471,4.9822354,3.9311306,9.038684,4.613924,3.6060746,3.130668,3.8152957,5.663211,3.5589983,5.2479863,3.9949775,4.6485214,4.701396,4.453348,3.8827775,5.1120744,4.8440747,5.1610403,6.2401094,0,3
7.752311,0.76556534,2.8685496,1.096044,5.271375,5.448847,4.551319,4.9084764,4.890404,5.6900325,5.1807666,4.595697,5.0997562,4.7046375,4.619805,5.189192,4.902145,4.8707128,5.032075,6.1587896,0,1
7.7304,0.9484868,2.8080168,1.1153002,5.6435637,6.0467186,4.5300603,4.972797,4.6862636,5.7870693,5.2910137,4.5617228,5.094187,4.530622,4.738097,5.17827,4.921363,4.8224573,5.112169,6.167986,0,1
7.7353835,0.6060976,3.24414,1.1532737,4.9309955,5.707402,4.176276,4.8047986,5.140319,5.6200438,5.2114415,4.677165,4.9855547,4.674795,4.419554,4.963333,4.864968,4.8994117,5.073714,6.1784773,0,1
7.575638,4.921427,3.8715303,9.031157,4.503743,3.4611442,3.1209428,3.7779436,5.676346,3.567944,5.300471,4.004221,4.6855564,4.665863,4.410747,3.8713977,5.109591,4.7743173,5.1933436,6.2188554,0,3
7.6501093,2.2335913,2.1106362,6.9930305,5.2009635,9.612477,3.9311607,4.751423,4.822195,4.245845,4.314542,5.308797,5.1423187,3.6576242,5.462832,4.282464,4.580065,4.367402,5.1649675,6.2939897,0,2
7.3870764,4.6188316,3.9976957,9.312503,4.5228286,3.4498532,3.220204,3.7916584,6.002077,3.1734211,5.3623357,3.9540198,4.695156,4.687534,4.4013414,3.8252487,5.1521583,4.845445,5.168083,6.295103,0,3
7.483908,3.0269277,2.638815,6.555859,4.9437785,7.5213294,3.7948015,4.353293,5.2874436,4.2320695,4.8791785,4.78821,5.0076423,4.2552333,5.245464,4.3433247,4.859352,4.562605,5.119518,6.301897,0,2
8.127766,11.740106,1.5713507,4.593724,5.095383,5.7853575,4.557842,5.9936647,5.6452107,5.084608,4.806115,3.694364,4.5557904,4.754816,6.1423626,4.355765,5.3488307,5.38091,4.991173,5.7392464,1,0
7.463005,4.3453774,3.555269,9.607818,4.257127,3.709009,3.0615053,3.7476392,5.87735,3.098803,5.398255,4.035063,4.836458,4.5105658,4.422153,3.7459352,5.100338,4.6846867,5.1964216,6.23758,0,3
7.714018,1.640957,2.9000018,1.738376,5.366162,5.146677,4.810059,4.7800517,4.880039,5.6373286,5.1897144,4.4770026,5.160104,4.9150825,4.7186837,5.2862954,4.877241,4.8847733,5.1015615,6.2193766,0,1
7.735198,1.7642753,2.9792302,1.7557895,5.406805,4.973003,4.913242,4.805323,4.900681,5.7424397,5.243842,4.398608,5.201369,5.0101924,4.770036,5.379115,4.9095516,4.895425,5.1736283,6.220919,0,1
7.3311815,4.660783,3.827575,8.957164,4.065181,3.3309271,3.253683,4.0702553,5.8097224,3.4680653,5.319958,3.9671044,4.7364225,4.795347,4.6904197,4.099865,5.185227,4.777376,5.073665,6.3043437,0,3
7.753242,0.69404334,3.3895726,1.4225512,4.7981143,5.5041375,4.1369476,4.7412815,5.342836,5.5170784,5.2233443,4.641026,4.894159,4.786609,4.359903,4.91427,4.908727,4.8953156,5.1173143,6.116943,0,1
7.7217436,0.54411304,2.8633318,0.80072194,5.455484,6.104957,4.42621,4.91571,4.7291007,5.735044,5.166755,4.6653256,5.1426816,4.534371,4.824332,5.0777717,4.9095564,4.8638835,5.076754,6.1991005,1,1
7.4746957,4.958384,4.1849575,8.480605,4.1653347,2.5464323,3.4261568,3.9594247,5.9650106,3.6603143,5.456849,3.9175847,4.660504,4.874986,4.456363,4.1315207,5.2224803,4.705849,5.2011204,6.2581763,0,3
7.70099,5.497972,4.665402,7.0865,4.0871572,1.3664223,3.6726089,3.9704633,5.852575,4.5034404,5.4756656,3.8645902,4.5384345,5.1655483,4.327589,4.423652,5.277412,4.733832,5.316827,6.244893,0,3
7.5846825,5.2690763,4.4783316,7.864022,4.05084,1.8857657,3.4754858,3.972198,5.877615,4.05954,5.4769254,3.9042416,4.5883126,5.012162,4.4201484,4.260811,5.2557893,4.657748,5.2341948,6.2490907,0,3
8.9067,8.885065,13.3210945,4.7694516,4.378216,6.8343267,4.2049975,4.692495,3.8176873,6.88758,5.7176714,6.2990384,4.753079,4.737467,4.3697,5.5172944,4.9694567,4.0779,4.2252603,7.121227,1,5
8.007706,12.518367,0.3759242,5.274583,7.9236007,4.774447,5.5891237,6.119919,5.8352766,5.0526576,4.776315,4.116396,4.411311,5.1894946,5.606986,5.287828,5.318937,4.9657955,5.027289,5.4647975,0,0
8.410498,8.551008,12.521207,5.2255816,4.4323807,6.4029393,3.8117216,4.8790355,4.100783,6.7994623,5.519999,6.130733,4.8448334,4.609952,4.521261,5.335719,4.9618125,4.2200456,4.259646,7.089751,0,5
7.704932,5.387343,4.4950576,7.088859,4.0467176,1.3493203,3.7096086,3.9875455,5.869804,4.4968534,5.469292,3.8385699,4.5617023,5.191959,4.2972302,4.4529347,5.2961164,4.7980423,5.342345,6.2699823,0,3
7.6939626,1.1171768,3.0229115,1.6499252,5.286839,5.7487226,4.287416,4.7956867,4.8580475,5.5714984,5.211514,4.618337,5.0878763,4.5820384,4.7529206,4.9783564,4.9435916,4.8454533,5.152233,6.212906,1,1
8.502878,8.538207,12.402239,5.294481,4.455254,6.3784103,3.722907,4.905162,4.1790724,6.8275986,5.567916,6.1689286,4.9174466,4.548144,4.4859843,5.3574924,5.0017853,4.184849,4.2992043,7.055924,1,5
7.2821403,4.5694346,3.965187,9.580548,4.7622175,4.04457,3.1576393,3.8183148,5.9396996,3.0494826,5.2294226,3.9638073,4.682135,4.6854177,4.490589,3.7690425,5.118033,5.0111823,5.0779767,6.3495574,0,3
7.5393534,5.549419,4.5935345,6.981402,4.0447593,1.2406486,3.826827,3.96126,5.933969,4.621614,5.3790255,3.6825457,4.480609,5.415372,4.474254,4.444188,5.2520604,5.0156507,5.262848,6.2746825,0,3
7.5686293,4.9380784,4.2976084,8.67196,4.536042,2.701377,3.332362,3.714485,6.00245,3.5424752,5.444624,3.9348392,4.6388054,4.7761106,4.2268195,3.9110217,5.1759634,4.766113,5.270518,6.2516212,0,3
7.512858,4.985579,3.9352684,9.042899,4.6149807,3.6101978,3.1320245,3.8263357,5.66163,3.553988,5.244642,3.9970615,4.6466246,4.701662,4.4642644,3.8870432,5.1127276,4.844295,5.155793,6.2408867,0,3
7.7181697,0.6806732,3.1985936,1.2236861,5.6829996,6.6258554,4.2449775,5.030139,4.9351807,5.905094,5.372481,4.5799184,5.009115,4.5036182,4.824042,5.016486,4.98573,4.790351,5.2578063,6.1197786,0,1
8.015081,11.207326,0.93468434,5.1663637,6.6241903,5.012878,5.1969914,5.899629,5.5505304,4.808633,4.891116,3.7674549,4.460024,5.013416,5.725877,4.8355765,5.411752,5.1574388,5.087117,5.684835,0,0
7.745996,2.2310593,2.2804325,7.159024,5.057267,9.045756,4.0722346,4.642437,4.9852324,4.080036,4.319751,5.127035,5.0909753,3.7318876,5.4691777,4.344242,4.485192,4.5217195,5.0042605,6.348545,1,2
